Wall time,Step,Value
1730611131.186266,100000,-0.04587802663445473
1730612384.163214,200000,-0.0174592062830925
1730613647.0899951,300000,0.1721460074186325
1730614909.0165136,400000,0.08309002965688705
1730616177.1289747,500000,0.20388345420360565
1730617440.0051024,600000,0.2016749531030655
1730618697.5874588,700000,0.20570911467075348
1730619961.3033147,800000,0.2741103768348694
1730621226.7391438,900000,0.2694421112537384
1730622492.6058772,1000000,0.2901310622692108
1730623760.2707915,1100000,0.3115423917770386
1730625024.7637289,1200000,0.32655853033065796
1730626280.31665,1300000,0.3259950876235962
1730627538.688681,1400000,0.3886471092700958
1730628798.5382018,1500000,0.3665204644203186
1730630062.4697201,1600000,0.36078277230262756
1730631320.8285935,1700000,0.4468880891799927
1730632572.8806686,1800000,0.4380260705947876
1730633825.1568224,1900000,0.5063629150390625
1730635095.8706605,2000000,0.4712390601634979
1730636353.948461,2100000,0.5156542658805847
1730637603.6018977,2200000,0.5817102193832397
1730638854.6087952,2300000,0.5896415114402771
1730640095.061503,2400000,0.6167376041412354
1730641336.776272,2500000,0.6662104725837708
1730642584.6886153,2600000,0.7725565433502197
1730643837.9159372,2700000,0.7732036709785461
1730645085.7939801,2800000,0.8671948909759521
1730646329.1786833,2900000,0.8964822292327881
1730647563.6602173,3000000,0.9752717614173889
1730648807.2398543,3100000,1.0489778518676758
1730650045.7588215,3200000,0.9616464972496033
1730651283.1223223,3300000,1.0763355493545532
1730652518.5529985,3400000,1.1685733795166016
1730653734.6016467,3500000,1.2471710443496704
1730654965.8195908,3600000,1.1342065334320068
1730656192.741477,3700000,1.1017065048217773
1730657427.5259154,3800000,0.9992814064025879
1730658654.4362552,3900000,1.0663751363754272
1730659880.058438,4000000,1.2198768854141235
1730661096.8801115,4100000,1.455543041229248
1730662312.3968284,4200000,1.4904735088348389
1730663542.939018,4300000,1.4557130336761475
1730664777.3882353,4400000,1.5688467025756836
1730666001.3215845,4500000,1.5049285888671875
1730667226.2895129,4600000,1.5360256433486938
1730668445.999937,4700000,1.727134108543396
1730669661.9058046,4800000,1.7773115634918213
1730670881.816335,4900000,1.7145323753356934
1730672097.410858,5000000,1.8849399089813232
1730673309.2139533,5100000,1.8799077272415161
1730674535.4412417,5200000,1.761578917503357
1730675755.818431,5300000,1.8374425172805786
1730676977.2230713,5400000,1.8673202991485596
1730678194.7113853,5500000,1.8412994146347046
1730679407.2548373,5600000,1.864973545074463
1730680619.48456,5700000,1.9580433368682861
1730681835.9169717,5800000,2.014747142791748
1730683050.6295726,5900000,1.961287021636963
1730684267.2238476,6000000,1.9326869249343872
1730685487.299383,6100000,1.8278191089630127
1730686703.7833261,6200000,1.9440085887908936
1730687918.2447088,6300000,2.0524394512176514
1730689131.9773114,6400000,1.955500602722168
1730690348.8544128,6500000,1.9772249460220337
1730691559.2043004,6600000,1.9137784242630005
1730692778.4504354,6700000,1.964833378791809
1730694001.3080437,6800000,1.9265689849853516
1730695213.5597992,6900000,2.069216012954712
1730696426.8515654,7000000,2.060353994369507
1730697640.390097,7100000,2.0319981575012207
1730698855.3941488,7200000,2.037304639816284
1730700066.4851577,7300000,2.0186564922332764
1730701279.02567,7400000,1.9872791767120361
1730702492.5333717,7500000,1.9380873441696167
1730703706.8421693,7600000,2.064340591430664
1730704933.6348214,7700000,1.9581847190856934
1730706147.427171,7800000,2.0798356533050537
1730707363.388686,7900000,2.0247292518615723
1730708582.9109998,8000000,2.0816385746002197
1730709802.2769098,8100000,2.042128801345825
1730711029.5121474,8200000,1.9595715999603271
1730712249.926992,8300000,2.0939571857452393
1730713463.9408617,8400000,2.039335012435913
1730714681.7821732,8500000,2.0744080543518066
1730715902.9779322,8600000,2.000534772872925
1730717122.5929143,8700000,1.9904555082321167
1730718344.6943505,8800000,1.963636875152588
1730719565.087495,8900000,2.0540261268615723
1730720781.9853973,9000000,2.042818784713745
1730721992.6476147,9100000,1.9699169397354126
1730723210.096878,9200000,2.035478115081787
1730724424.1509585,9300000,2.037830352783203
1730725637.2626517,9400000,2.043059825897217
1730726855.7417006,9500000,2.105809450149536
1730728077.0434058,9600000,2.0345447063446045
1730729290.8024626,9700000,2.1133570671081543
1730730503.980542,9800000,2.1233396530151367
1730731721.9591506,9900000,2.011631488800049
1730732890.2907026,9999999,2.1033196449279785
