Wall time,Step,Value
1717130691.4094021,1324,0.0
1717130695.0928097,3691,0.0
1717130696.7773705,4747,0.0
1717130696.9385624,4848,0.0
1717130700.1374426,6875,0.0
1717130701.8082712,7918,0.0
1717130702.2865124,8219,0.0
1717130705.0857015,10001,0.0
1717130709.5468104,12790,0.0
1717130710.4517395,13354,0.0
1717130712.7124608,14757,0.0
1717130714.2556956,15743,0.0
1717130719.224189,18845,0.0
1717130721.240136,20116,0.0
1717130723.558489,21547,0.0
1717130723.8779283,21748,0.0
1717130727.9092786,24280,0.0
1717130880.761709,28755,0.03269754722714424
1717130956.5801275,30660,0.06976744532585144
1717131014.5103674,32144,0.10669974982738495
1717131063.110701,33394,0.13461539149284363
1717131149.6632826,35569,0.1780821979045868
1717131237.5992362,37788,0.22746780514717102
1717131276.420724,38765,0.24369747936725616
1717131297.866639,39311,0.2531120479106903
1717131399.392811,41861,0.2954990267753601
1717131483.1827207,43954,0.3258427083492279
1717131499.6730704,44370,0.33209648728370667
1717131507.301222,44558,0.3345656096935272
1717131559.9851167,45879,0.3518851101398468
1717131579.634438,46365,0.35879218578338623
1717131702.4050741,49440,0.3953098952770233
1717131854.7309954,53282,0.43103447556495667
1717131875.4127793,53794,0.43633541464805603
1717131877.6017332,53848,0.4372093081474304
1717131927.566944,55099,0.449165403842926
1717131986.6564896,56587,0.4630177617073059
1717132162.5463734,60981,0.4972299039363861
1717132318.7837083,64885,0.5254902243614197
1717132356.6997833,65844,0.532216489315033
1717132465.5802553,68589,0.5490683317184448
1717132653.8138452,73334,0.5769230723381042
1717132691.3069854,74277,0.5813148617744446
1717132759.158224,75964,0.5907553434371948
1717132959.7657156,80981,0.6150583028793335
1717133162.5110352,86037,0.6370000243186951
1717133216.7150693,87384,0.6427165269851685
1717133259.0774648,88454,0.6465433239936829
1717133298.8548768,89444,0.650288999080658
1717133364.5796087,91099,0.6565752029418945
1717133414.6492705,92352,0.6613805890083313
1717133558.0279408,95932,0.6729729771614075
1717133566.3756628,96140,0.673561155796051
1717133617.0885642,97409,0.6776198744773865
1717133643.6796296,98071,0.6796116232872009
1717133706.7509906,99656,0.6848958134651184
1717133711.035094,99763,0.6851691007614136
1717133752.9546807,100815,0.6884120106697083
1717133788.5624108,101700,0.6910638213157654
1717133796.3049605,101891,0.6915887594223022
1717133824.4545596,102602,0.6936708688735962
1717133951.8763006,105775,0.7022149562835693
1717134068.3859694,108663,0.7102953195571899
1717134077.2142265,108884,0.7107569575309753
1717134089.3439045,109186,0.7114467620849609
1717134097.9414282,109400,0.7123613357543945
1717134117.8120368,109898,0.7137224078178406
1717134135.1451983,110325,0.7146226167678833
1717134332.1568065,115249,0.726244330406189
1717134412.0878873,117254,0.7303120493888855
1717134514.457301,119818,0.7361918687820435
1717134517.5582066,119893,0.7363834381103516
1717134670.3743255,123729,0.7440056204795837
1717134814.505241,127362,0.7503429651260376
1717134818.7890131,127470,0.750514030456543
1717134947.517775,130685,0.7565217614173889
1717135006.7268658,132174,0.7590999603271484
1717135016.3423152,132419,0.7595772743225098
1717135136.8728657,135429,0.7650097012519836
1717135148.0972064,135708,0.7654638886451721
1717135199.1581917,136978,0.7675606608390808
1717135210.4224353,137259,0.7680050730705261
1717135272.9300156,138808,0.7704917788505554
1717135306.1868188,139641,0.7720726132392883
1717135416.9676585,142408,0.7764127850532532
1717135446.2659647,143135,0.7775061130523682
1717135573.2539842,146340,0.7821663618087769
1717135629.337255,147738,0.7841044068336487
1717135694.2936776,149386,0.7862595319747925
1717135700.821953,149547,0.7865102887153625
1717135730.1762993,150290,0.7873831987380981
1717135970.7441378,156297,0.7952755689620972
1717136219.780258,162480,0.8030303120613098
1717136264.4751663,163594,0.8044062256813049
1717136292.865717,164301,0.8051391839981079
1717136414.9954345,167362,0.8084210753440857
1717136426.6394541,167655,0.8087230920791626
1717136452.8682318,168315,0.809424102306366
1717136565.7781205,171146,0.8124678134918213
1717136636.4543998,172893,0.814380407333374
1717136638.7146919,172948,0.8144749999046326
1717136707.5055108,174665,0.8161616325378418
1717137046.730165,183078,0.8242394924163818
1717137076.1125152,183812,0.824999988079071
1717137105.7536693,184562,0.8258373141288757
1717137141.8943312,185458,0.8267491459846497
1717137527.1331131,195080,0.8352941274642944
1717137639.8560429,197869,0.8374999761581421
1717137936.018708,205261,0.8431034684181213
1717138075.1620283,208735,0.8457627296447754
1717138201.8622878,211893,0.8480166792869568
1717138359.4353094,215796,0.8506360054016113
1717138381.686646,216360,0.8509418368339539
1717138425.7959163,217475,0.8517311811447144
1717138453.4872265,218176,0.8522127270698547
1717138465.9538615,218485,0.8523925542831421
1717138537.1180072,220275,0.8535800576210022
1717138598.658832,221814,0.8546326160430908
1717138650.88927,223121,0.8554408550262451
1717138700.5288208,224361,0.8561833500862122
1717138880.3905754,228804,0.8588052988052368
1717138884.032368,228894,0.8588600158691406
1717138957.9087546,230731,0.8600000143051147
1717139070.895219,233556,0.8614916205406189
1717139102.5894904,234339,0.8619120121002197
1717139131.0422945,235050,0.8623297810554504
1717139275.7744205,238657,0.8644320368766785
1717139309.7520573,239507,0.8648849129676819
1717139362.9929388,240839,0.8656330704689026
1717139390.3953886,241517,0.8660780191421509
1717139453.6682184,243081,0.866544783115387
1717139475.67841,243635,0.8668369054794312
1717139520.6617553,244759,0.8674654960632324
1717139524.4454708,244852,0.8675135970115662
1717139527.3681266,244924,0.8675616979598999
1717139564.8660607,245859,0.8680405020713806
1717139575.6550634,246133,0.868183434009552
1717139633.7803586,247596,0.8689877986907959
1717139734.5460823,250115,0.8702452778816223
1717139823.2476087,252324,0.871252179145813
1717139864.367432,253348,0.8717047572135925
1717139923.4161017,254820,0.8724668025970459
1717140145.4084814,260354,0.8750855326652527
1717140262.863903,263278,0.876396894454956
1717140272.250591,263513,0.8765223026275635
1717140297.7469404,264147,0.876814067363739
1717140331.7986155,265011,0.8772696852684021
1717140569.6315541,270967,0.8797364234924316
1717140753.1082993,275537,0.8816472291946411
1717140757.7915008,275649,0.8816855549812317
1717140821.6877308,277245,0.8824098110198975
1717140824.6266592,277318,0.8824476599693298
1717140828.2317894,277407,0.8824855089187622
1717140884.341309,278804,0.8830503225326538
1717140971.0401473,280981,0.8839796781539917
1717141072.2394595,283477,0.8850031495094299
1717141134.9297664,285042,0.8856874704360962
1717141164.1025498,285770,0.885937511920929
1717141227.3478491,287359,0.8865755200386047
1717141236.0277214,287580,0.8866811394691467
1717141305.8015757,289326,0.8874151706695557
1717141397.6832,291599,0.8882424831390381
1717141409.3241096,291885,0.8883450627326965
1717141556.8247764,295529,0.8896280527114868
1717141736.0606525,299977,0.8912719488143921
1717141921.6887438,304610,0.8925110101699829
1717142131.3138578,309847,0.8942807912826538
1717142214.3599236,311935,0.8949483633041382
1717142219.308623,312061,0.8949784636497498
1717142240.9094503,312596,0.8951889872550964
1717142273.397432,313399,0.895458459854126
1717142366.7406194,315726,0.896229088306427
1717142511.0425262,319297,0.8971124291419983
1717142520.259701,319526,0.8971988558769226
1717142631.9637449,322290,0.8980838656425476
1717142687.4517407,323653,0.8985347151756287
1717142828.5826101,327178,0.8995895981788635
1717142839.0532815,327438,0.8996719717979431
1717142854.0479903,327813,0.8997815251350403
1717142866.2649899,328117,0.899863600730896
1717142880.974863,328486,0.8999727368354797
1717142890.7582617,328725,0.9000544548034668
1717142956.5671322,330342,0.900568962097168
1717143030.3779886,332165,0.9011580944061279
1717143195.195997,336279,0.9024454951286316
1717143270.0207343,338145,0.9027227163314819
1717143496.968633,343789,0.9043907523155212
1717143503.5197105,343952,0.9044404029846191
1717143563.9965658,345474,0.9049095511436462
1717143686.717857,348541,0.9057135581970215
1717143721.8968759,349420,0.9059304594993591
1717143738.7133775,349837,0.9060265421867371
1717143761.3336103,350401,0.9061703085899353
1717143803.4694724,351455,0.9064565300941467
1717143812.810585,351689,0.9065278172492981
1717143953.265279,355180,0.9074446558952332
1717144085.1398237,358465,0.9082980155944824
1717144094.72806,358703,0.9083437323570251
1717144132.2759345,359633,0.9085487127304077
1717144174.0966015,360668,0.9087980389595032
1717144194.5475905,361180,0.9086859822273254
1717144222.9630466,361872,0.9088438749313354
1717144356.615053,365187,0.9096695184707642
1717144442.3969285,367320,0.9102189540863037
1717144461.4688947,367795,0.9103498458862305
1717144486.9668224,368426,0.9104803204536438
1717144498.308843,368703,0.9105454683303833
1717144572.5606441,370559,0.911020040512085
1717144702.5067058,373779,0.9117646813392639
1717144743.4705718,374803,0.9119961857795715
1717144866.6607866,377856,0.9127246737480164
1717144974.8909855,380546,0.9133396148681641
1717145189.2756598,385889,0.9145635366439819
1717145226.5071604,386815,0.9147608876228333
1717145480.7210882,393120,0.9160600304603577
1717145650.6373377,397352,0.9169666767120361
1717145695.038615,398448,0.9171717166900635
1717145959.3961163,405011,0.9184710383415222
1717145993.5838552,405864,0.9186508059501648
1717146011.906553,406316,0.9187224507331848
1717146101.360524,408531,0.9191675782203674
1717146283.1524088,413054,0.920008659362793
1717146413.0659497,416282,0.9206451773643494
1717146536.8822463,419359,0.9212716221809387
1717146551.3815773,419719,0.9213387370109558
1717146558.8680155,419908,0.9213722348213196
1717146576.3931024,420344,0.9214726686477661
1717146609.8621736,421181,0.9216227531433105
1717146692.3797965,423237,0.9220038056373596
1717146860.7213404,427436,0.9227548837661743
1717146865.0614977,427542,0.9227710366249084
1717146967.2007751,430093,0.9232529401779175
1717147050.984843,432156,0.9236183166503906
1717147059.2518039,432367,0.9236499071121216
1717147069.504168,432623,0.923697292804718
1717147073.0232184,432713,0.9237130284309387
1717147104.325529,433478,0.9238390326499939
1717147236.2070024,436780,0.9244316816329956
1717147346.081367,439483,0.9248625636100769
1717147419.1787825,441302,0.9251521229743958
1717147460.806404,442335,0.9253187775611877
1717147488.3878946,443012,0.9254545569419861
1717147598.39904,445729,0.9259185194969177
1717147637.8210945,446727,0.9260817170143127
1717147840.14513,451751,0.9269017577171326
1717147900.4415138,453251,0.9271758198738098
1717147945.105772,454350,0.9273622035980225
1717147977.338453,455149,0.9274906516075134
1717147985.89743,455358,0.9275191426277161
1717148139.266264,459157,0.9281122088432312
1717148152.6618445,459495,0.9281681776046753
1717148168.4283128,459881,0.9282240867614746
1717148206.4865913,460835,0.9283773303031921
1717148217.0438495,461099,0.9284189939498901
1717148221.1731157,461199,0.9284328818321228
1717148341.3176787,464191,0.9288743138313293
1717148387.876969,465362,0.9290521144866943
1717148481.4815197,467681,0.9293915033340454
1717148526.3598673,468802,0.9295667409896851
1717148573.663264,469982,0.9297677874565125
1717148604.4127336,470741,0.9298878908157349
